image_id,caption_pred,cider,caption_true,is_precanned,is_rejected,id,text_detected,p_len,t_len,len_diff
45,"quality issues are too severe to recognize visual content , it ' s just a pure",0.6127309810804716,A pretty blue color with lighter blue on the left side.,False,False,225,False,78,55,-23
45,"quality issues are too severe to recognize visual content , it ' s just a pure",0.6127309810804716,"A cloudless blue sky, as seen looking up.",False,False,226,False,78,41,-37
45,"quality issues are too severe to recognize visual content , it ' s just a pure",0.6127309810804716,Quality issues are too severe to recognize visual content.,True,False,227,False,78,58,-20
45,"quality issues are too severe to recognize visual content , it ' s just a pure",0.6127309810804716,"A blue screen, not sure if it is a sky or a piece of blue paper.",False,False,228,False,78,64,-14
45,"quality issues are too severe to recognize visual content , it ' s just a pure",0.6127309810804716,blue sky without any clouds or anything in the sky at all completely clear,False,False,229,False,78,74,-4
418,a blurry picture of what appears to be a dvd,1.059016865784918,A blurry out of frame image of what appears to be a DVD.,False,False,2090,True,44,56,12
418,a blurry picture of what appears to be a dvd,1.059016865784918,Quality issues are too severe to recognize visual content.,True,False,2091,True,44,58,14
418,a blurry picture of what appears to be a dvd,1.059016865784918,Quality issues are too severe to recognize visual content.,True,False,2092,True,44,58,14
418,a blurry picture of what appears to be a dvd,1.059016865784918,Quality issues are too severe to recognize visual content.,True,False,2093,True,44,58,14
418,a blurry picture of what appears to be a dvd,1.059016865784918,some sort of magazine with a woman on it,False,False,2094,True,44,40,-4
448,"quality issues are too severe to recognize visual content , it ' s just a white",2.2149576472307126,Quality issues are too severe to recognize visual content.,True,False,2240,False,79,58,-21
448,"quality issues are too severe to recognize visual content , it ' s just a white",2.2149576472307126,Quality issues are too severe to recognize visual content.,True,False,2241,False,79,58,-21
448,"quality issues are too severe to recognize visual content , it ' s just a white",2.2149576472307126,appears to be a picture of a white wall,False,False,2242,False,79,39,-40
448,"quality issues are too severe to recognize visual content , it ' s just a white",2.2149576472307126,Quality issues are too severe to recognize visual content.,True,False,2243,False,79,58,-21
448,"quality issues are too severe to recognize visual content , it ' s just a white",2.2149576472307126,Quality issues are too severe to recognize visual content.,True,False,2244,False,79,58,-21
490,a blurry image of multi colored text on a white background,1.7500654494479901,Quality issues are too severe to recognize visual content.,True,True,2450,True,58,58,0
490,a blurry image of multi colored text on a white background,1.7500654494479901,A blurry image of multi colored text on a white background,False,False,2451,True,58,58,0
490,a blurry image of multi colored text on a white background,1.7500654494479901,Quality issues are too severe to recognize visual content.,True,False,2452,True,58,58,0
490,a blurry image of multi colored text on a white background,1.7500654494479901,Quality issues are too severe to recognize visual content.,True,False,2453,True,58,58,0
490,a blurry image of multi colored text on a white background,1.7500654494479901,Quality issues are too severe to recognize visual content.,True,False,2454,True,58,58,0
553,quality issues are too severe to recognize visual content,5.864996569358008,Quality issues are too severe to recognize visual content.,True,False,2765,False,57,58,1
553,quality issues are too severe to recognize visual content,5.864996569358008,Quality issues are too severe to recognize visual content.,True,False,2766,False,57,58,1
553,quality issues are too severe to recognize visual content,5.864996569358008,Quality issues are too severe to recognize visual content.,True,False,2767,False,57,58,1
553,quality issues are too severe to recognize visual content,5.864996569358008,Quality issues are too severe to recognize visual content.,True,False,2768,False,57,58,1
553,quality issues are too severe to recognize visual content,5.864996569358008,What appears to be a black photo or possible camera error.,False,False,2769,False,57,58,1
611,"quality issues are too severe to recognize visual content , no picture loaded",3.756616808714235,Quality issues are too severe to recognize visual content.,True,False,3055,False,77,58,-19
611,"quality issues are too severe to recognize visual content , no picture loaded",3.756616808714235,Quality issues are too severe to recognize visual content.,True,False,3056,False,77,58,-19
611,"quality issues are too severe to recognize visual content , no picture loaded",3.756616808714235,Picture did not load although I waited a good amount of time.,False,False,3057,False,77,61,-16
611,"quality issues are too severe to recognize visual content , no picture loaded",3.756616808714235,Quality issues are too severe to recognize visual content.,True,False,3058,False,77,58,-19
611,"quality issues are too severe to recognize visual content , no picture loaded",3.756616808714235,Quality issues are too severe to recognize visual content.,True,False,3059,False,77,58,-19
635,"quality issues are too severe to recognize visual content , no picture loaded",2.8174626065356767,Quality issues are too severe to recognize visual content.,True,False,3175,False,77,58,-19
635,"quality issues are too severe to recognize visual content , no picture loaded",2.8174626065356767,Quality issues are too severe to recognize visual content.,True,False,3176,False,77,58,-19
635,"quality issues are too severe to recognize visual content , no picture loaded",2.8174626065356767,An image did not appear it is just a blank screen,False,False,3177,False,77,49,-28
635,"quality issues are too severe to recognize visual content , no picture loaded",2.8174626065356767,NO PICTURE LOADED I CAN'T TELL ANYTHING AT ALL,False,False,3178,False,77,46,-31
635,"quality issues are too severe to recognize visual content , no picture loaded",2.8174626065356767,Quality issues are too severe to recognize visual content.,True,False,3179,False,77,58,-19
651,quality issues are too severe to recognize visual content,5.817460317460316,no image on the box so we cannot be explain,False,False,3255,False,57,43,-14
651,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,3256,False,57,58,1
651,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,3257,False,57,58,1
651,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,3258,False,57,58,1
651,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,3259,False,57,58,1
720,quality issues are too severe to recognize visual content,4.363095238095238,Quality issues are too severe to recognize visual content.,True,False,3600,False,57,58,1
720,quality issues are too severe to recognize visual content,4.363095238095238,A wonderful view of the fog windows in the room is very thick,False,True,3601,False,57,61,4
720,quality issues are too severe to recognize visual content,4.363095238095238,Completely dark image as if the shutter of camera is closed.,False,False,3602,False,57,60,3
720,quality issues are too severe to recognize visual content,4.363095238095238,Quality issues are too severe to recognize visual content.,True,False,3603,False,57,58,1
720,quality issues are too severe to recognize visual content,4.363095238095238,Quality issues are too severe to recognize visual content.,True,False,3604,False,57,58,1
833,"quality issues are too severe to recognize visual content , it ' s just a bright",2.445560020283659,"Quality issues are too severe to recognize visual content, it's just a bright light with no discerning figures.",False,False,4165,False,80,111,31
833,"quality issues are too severe to recognize visual content , it ' s just a bright",2.445560020283659,Quality issues are too severe to recognize visual content.,True,False,4166,False,80,58,-22
833,"quality issues are too severe to recognize visual content , it ' s just a bright",2.445560020283659,Quality issues are too severe to recognize visual content.,True,False,4167,False,80,58,-22
833,"quality issues are too severe to recognize visual content , it ' s just a bright",2.445560020283659,Quality issues are too severe to recognize visual content.,True,False,4168,False,80,58,-22
833,"quality issues are too severe to recognize visual content , it ' s just a bright",2.445560020283659,an unrecognizable blurring image of possibly a finger,False,False,4169,False,80,53,-27
878,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4390,False,57,58,1
878,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4391,False,57,58,1
878,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4392,False,57,58,1
878,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4393,False,57,58,1
878,quality issues are too severe to recognize visual content,5.817460317460316,A blank creamy white cloth with slight folds.,False,False,4394,False,57,45,-12
886,"quality issues are too severe to recognize visual content , it ' s too blurry to",2.186860717963247,Quality issues are too severe to recognize visual content.,True,False,4430,False,80,58,-22
886,"quality issues are too severe to recognize visual content , it ' s too blurry to",2.186860717963247,Quality issues are too severe to recognize visual content.,True,False,4431,False,80,58,-22
886,"quality issues are too severe to recognize visual content , it ' s too blurry to",2.186860717963247,Quality issues are too severe to recognize visual content.,True,False,4432,False,80,58,-22
886,"quality issues are too severe to recognize visual content , it ' s too blurry to",2.186860717963247,"A blur photo of unknown object, its to close to object so it become unclear.",False,False,4433,False,80,76,-4
886,"quality issues are too severe to recognize visual content , it ' s too blurry to",2.186860717963247,Quality issues are too severe to recognize visual content.,True,False,4434,False,80,58,-22
933,a blurry image of a green box or box,0.649124838222716,Quality issues are too severe to recognize visual content.,True,False,4665,False,36,58,22
933,a blurry image of a green box or box,0.649124838222716,A John West package of food is opened.,False,False,4666,True,36,38,2
933,a blurry image of a green box or box,0.649124838222716,Quality issues are too severe to recognize visual content.,True,False,4667,False,36,58,22
933,a blurry image of a green box or box,0.649124838222716,a green box or display being obscured by a person's finger,False,False,4668,True,36,58,22
933,a blurry image of a green box or box,0.649124838222716,Quality issues are too severe to recognize visual content.,True,False,4669,True,36,58,22
947,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4735,False,57,58,1
947,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4736,False,57,58,1
947,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4737,False,57,58,1
947,quality issues are too severe to recognize visual content,5.817460317460316,A completely black square with nothing else in it.,False,False,4738,False,57,50,-7
947,quality issues are too severe to recognize visual content,5.817460317460316,Quality issues are too severe to recognize visual content.,True,False,4739,False,57,58,1
1030,"blurry white , light blue and brown color with no definition",1.1951141273271224,Quality issues are too severe to recognize visual content.,True,False,5150,False,60,58,-2
1030,"blurry white , light blue and brown color with no definition",1.1951141273271224,"Blurry white, light blue and brown color with no definition.",False,False,5151,False,60,60,0
1030,"blurry white , light blue and brown color with no definition",1.1951141273271224,Quality issues are too severe to recognize visual content.,True,False,5152,False,60,58,-2
1030,"blurry white , light blue and brown color with no definition",1.1951141273271224,Quality issues are too severe to recognize visual content.,True,False,5153,False,60,58,-2
1030,"blurry white , light blue and brown color with no definition",1.1951141273271224,Quality issues are too severe to recognize visual content.,True,False,5154,False,60,58,-2
1127,quality issues are too severe to recognize visual content ( blue blur ),4.924897063490381,Quality issues are too severe to recognize visual content.,True,False,5635,False,71,58,-13
